,S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
1365,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1366,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1367,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1368,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1369,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1370,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1371,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1372,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1373,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1374,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1375,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1376,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1377,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1378,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1379,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1380,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1381,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1382,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1383,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1384,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1385,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1386,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1387,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1388,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
1389,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
1390,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1391,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1392,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1393,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1394,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1395,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1396,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1397,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1398,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1399,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1400,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1401,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1402,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1403,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1404,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1405,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1406,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1407,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1408,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1409,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1410,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1411,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1412,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1413,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
1414,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
1415,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1416,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1417,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1418,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1419,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1420,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1421,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1422,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1423,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1424,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1425,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1426,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1427,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1428,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1429,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1430,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1431,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1432,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1433,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1434,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1435,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1436,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1437,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1438,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
1439,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
1440,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1441,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1442,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1443,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1444,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1445,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1446,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1447,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1448,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1449,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1450,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1451,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1452,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1453,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1454,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1455,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1456,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1457,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1458,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1459,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1460,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1461,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1462,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1463,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
1464,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
1465,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1466,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1467,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1468,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1469,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1470,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1471,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1472,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1473,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1474,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1475,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1476,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1477,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1478,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1479,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1480,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1481,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1482,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1483,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1484,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1485,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1486,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1487,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1488,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
1489,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
1490,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1491,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1492,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1493,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1494,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1495,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1496,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1497,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1498,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1499,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1500,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1501,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1502,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1503,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1504,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1505,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1506,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1507,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1508,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1509,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1510,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1511,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1512,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1513,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
1514,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
1515,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1516,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1517,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1518,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1519,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1520,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1521,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1522,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1523,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1524,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1525,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1526,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1527,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1528,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1529,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1530,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1531,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1532,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1533,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1534,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1535,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1536,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1537,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1538,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
1539,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
1540,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
1541,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
1542,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
1543,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
1544,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
1545,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
1546,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
1547,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
1548,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
1549,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
1550,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1551,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
1552,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
1553,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
1554,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
1555,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
1556,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
1557,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
1558,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
1559,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
1560,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
1561,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
1562,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
1563,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
